[2025-12-21 09:13:41] Service Started
[2025-12-21 09:13:41] Idle Start
[2025-12-21 09:41:41] Idle End
[2025-12-21 09:59:01] Idle Start
[2025-12-21 09:59:25] Idle End
[2025-12-21 11:18:39] Idle Start
[2025-12-21 11:42:31] Idle End
[2025-12-21 11:49:09] Idle Start
[2025-12-21 12:19:16] Idle End
[2025-12-21 12:28:39] Idle Start
[2025-12-21 12:46:00] Idle End
[2025-12-21 13:02:24] Idle Start
[2025-12-21 13:02:49] Idle End
[2025-12-21 13:06:56] Idle Start
[2025-12-21 13:08:08] Idle End
[2025-12-21 13:25:45] Idle Start
[2025-12-21 14:08:58] Idle End
