[2025-12-01 20:44:15] Service Started
[2025-12-01 20:44:15] Idle Start
[2025-12-01 20:44:29] Idle End
[2025-12-01 20:45:29] Idle Start
[2025-12-01 20:46:16] Idle End
[2025-12-01 20:54:22] Idle Start
[2025-12-01 20:54:28] Idle End
[2025-12-01 21:05:14] Idle Start
[2025-12-01 21:30:12] Idle End
[2025-12-01 21:32:29] Idle Start
[2025-12-01 21:38:09] Idle End
[2025-12-01 21:39:21] Idle Start
[2025-12-01 21:39:58] Idle End
[2025-12-01 22:32:50] Idle Start
[2025-12-01 22:38:01] Idle End
[2025-12-01 22:40:14] Idle Start
[2025-12-01 22:47:50] Idle End
