[2025-12-03 20:49:37] Service Started
[2025-12-03 20:49:56] Idle Start
[2025-12-03 20:49:58] Idle End
[2025-12-03 20:51:01] Idle Start
[2025-12-03 20:51:07] Idle End
[2025-12-03 21:17:22] Idle Start
[2025-12-03 21:18:25] Idle End
[2025-12-03 21:19:33] Idle Start
[2025-12-03 21:21:25] Idle End
[2025-12-03 22:09:16] Idle Start
[2025-12-03 22:11:47] Idle End
[2025-12-03 23:16:21] Idle Start
[2025-12-03 23:17:10] Idle End
